stop_id,stop_name,num_lines,stop_code,x_coord,y_coord
101001034,Mühlenfeldstr.,2,MHLF01,384352.27609339,5830000.70721765
101001035,Schulzendorfer Str.,2,SDFS01,384608.75505817,5830346.70621993
101001036,Hermsdorfer D./Martin-Luther-Str,2,HEML01,384841.18609633,5830732.34540268
101001037,Drewitzer Str.,2,DRWZ01,385015.73569122,5831008.30821171
101001038,Heinsestr.,1,HNSE01,385130.06409441,5831351.10628302
101001039,Hohenzollernstr.,1,HZLN01,384999.59474213,5831562.39088255
101001040,Dominikus-Krankenhaus,1,DOKH01,384607.31664592,5832066.33166326
101001041,Friedhof Hermsdorf,1,FHHE01,384309.43829963,5832098.1027228
101001042,Welfenallee,1,WELF01,383966.58588397,5832267.7303457
101001043,Donnersmarckplatz,1,DOPL03,383627.15747486,5832470.0858331
101001044,Alemannenstr./Maximiliankorso,1,ALMX01,383659.35962869,5832921.34600136
101001045,S Frohnau,3,SFOH02,384186.46827392,5832760.61443621
101001046,Hubertusweg,1,HUWG01,384377.69812213,5835328.33165309
101001047,Invalidensiedlung,1,INVA02,384009.25160468,5835303.95747249
101001048,Invalidensiedlung,1,INVA01,383926.00228652,5835273.96344407
101001049,Hubertusweg,1,HUWG02,384327.79303481,5835353.87617615
101001050,Am Pilz,1,AMPI02,385041.18665321,5833870.7604289
101001051,S Frohnau,3,SFOH03,384129.83506207,5832811.29194372
101001052,Alemannenstr./Maximiliankorso,1,ALMX02,383688.44420672,5832957.29844587
101001053,Donnersmarckplatz,1,DOPL04,383622.8397552,5832574.06220702
101001054,Welfenallee,1,WELF02,383872.21197152,5832295.12636427
101001055,Friedhof Hermsdorf,1,FHHE02,384296.25021802,5832103.95744431
101001056,Dominikus-Krankenhaus,1,DOKH02,384568.01338299,5832055.47648211
101001057,Hohenzollernstr.,1,HZLN02,384976.21771775,5831594.92481524
101001058,Heinsestr.,1,HNSE02,385119.58692883,5831362.91528105
101001059,Drewitzer Str.,2,DRWZ02,385018.41943157,5831017.85987159
101001060,Hermsdorfer D./Martin-Luther-Str,2,HEML02,384876.78538092,5830784.76587264
101001061,Schulzendorfer Str.,2,SDFS02,384571.04655721,5830288.41709835
101001062,Mühlenfeldstr.,2,MHLF02,384368.74418607,5830030.68648274
101001063,Am Tegeler Fließ,2,ATGF02,384138.93670844,5829494.39365254
101001064,Hermsdorfer Damm/A111,2,HEDA02,383664.18599295,5829264.85182115
101001066,Bergholzstr.,3,BGHZ02,392424.81941027,5813357.04025645
101001067,Schlossparktheater,1,SLPT03,385743.95925947,5812937.29811221
101001068,Schlossparktheater,1,SLPT04,385792.84221821,5812952.36287658
101001069,S+U Yorckstr.,2,SUYO01,389447.08514626,5817072.70958666
101001070,S+U Yorckstr.,2,SUYO02,389506.99455335,5817041.77034341
101001071,S+U Zoologischer Garten/Jebensstr.,2,ZOOJ01,386754.09578596,5818715.23928409
101001072,U Berliner Str.,2,UBER09,386632.98600959,5816532.87636737
101001073,U Platz der Luftbrücke,1,UPL02N,390392.71239413,5816325.67602434
101001074,U Platz der Luftbrücke,2,UPL03N,390409.53170145,5816226.86513612
101001075,Katzbachstr.,2,KBYO02,389858.51062661,5817001.79025575
101001076,Birger-Forell-Platz,1,BFPL02,385945.09528493,5816005.48306772
101001077,Lankwitz Kirche,2,LKWK07,387520.82795764,5810905.23690378
101001078,Kleine Eiswerderstr.,1,KLEW01,379837.6293491,5823602.89677007
101001079,Waldhaus,1,WDHS01,377584.29758983,5816013.50309495
101001080,Falkenplatz,2,FLKP02,379911.94207235,5827563.70721562
101001081,Holzhauser Str./Schubartstr.,1,HHSB05,385158.28660428,5827168.51537456
101001082,Falkenplatz,2,FLKP03,379910.35744098,5827553.84160192
101001083,U Berliner Str.,1,UBER10N,386661.01177421,5816581.53634198
101001084,Mansfelder Str./Barstr.,3,MABA01,385548.25318557,5816696.19765766
101001085,Rathaus Schöneberg,4,RHSB02,387615.79127807,5816283.69951087
101001086,U Hohenzollernplatz,1,UHZP01N,386217.66622848,5817298.33114014
101001087,U Gneisenaustr.,1,UGS01,390981.62621587,5816885.82947562
101001091,Gatower Str./Heerstr.,6,GAHE03,376852.03142794,5819956.67909332
101001094,Holzhauser Str./Schubartstr.,1,HHSB06,385204.62391628,5827144.23525389
101001095,Kaiser-Friedrich-Str./Kantstr.,2,KFKA04,384811.11292343,5818673.89983092
101001096,Bismarckstr/Kaiser-Friedrich-Str,1,BIKF01,384744.43213437,5819305.73241507
101001097,Haubachstr.,1,HAUB01,384713.99067326,5819697.59218667
101001098,Daumstr./Rhenaniastr.,3,DMRH01,379728.50126071,5824236.85223211
101001100,U Walther-Schreiber-Platz,3,UWSP03,386427.11456367,5814130.73513836
101001101,Windröschenweg,1,WNDR01,392344.14432115,5811159.2459504
101001102,Am Omnibushof,3,AMOM07,376878.79954277,5820182.58512947
101001103,Weltlingerbrücke,2,WLTB01,384387.17327598,5822396.66412269
101001104,Bötzow-Bahn,1,BOBA01,376037.78362615,5825023.18484355
101001105,Hinckeldeybrücke,1,HDEY01,384728.36655699,5823243.01784393
101001106,Robert-Schumann-Brücke,1,RSBR01,385340.93786918,5824314.70081584
101001107,Kaserne Nordtor,1,KNT01,385995.36431996,5824648.91514336
101001108,Haveleck,2,HVLE01,379825.83842786,5824564.78082303
101001109,Ollenhauerstr.,3,OLLH01,386578.8425196,5825137.98171262
101001110,Ashdodstr.,2,ASHD01,379354.72662049,5824836.33584835
101001111,U Scharnweberstr.,1,USWS02,385614.55077616,5825629.40945373
101001112,Eichborndamm/Antonienstr.,1,EIAN01,385684.06459291,5825908.56999879
101001113,Kienhorststr.,1,KIEN01,385775.00970174,5826273.61864866
101001115,Schorfheidestr./Eichhorster Weg,5,SCEI01,388057.07361794,5828630.51640196
101001116,Märkisches Zentrum,5,MRKZ01,388515.88506783,5828664.16661563
101001117,Wilhelmsruher D/Treuenbrietzener,6,WITR01,388927.87877506,5828686.22717667
101001118,Wilhelmsruher D/Treuenbrietzener,9,WITR02,388894.38442573,5828696.95971027
101001119,Märkisches Zentrum,6,MRKZ02,388504.8055798,5828670.38415134
101001120,Schorfheidestr./Eichhorster Weg,5,SCEI02,388006.66018275,5828640.07384018
101001121,S Lichterfelde Ost,1,SLIO01,386306.2409515,5810029.09775092
101001122,U Wittenau,5,UWIN02,387142.18224997,5828596.94391606
101001123,Kienhorststr.,1,KIEN02,385690.08760393,5826335.12873698
101001124,Eichborndamm/Antonienstr.,1,EIAN02,385604.12538735,5825990.28491733
101001125,U Scharnweberstr.,2,USWS03,385560.32783343,5825544.04542429
101001126,U Richard-Wagner-Platz,1,URWP04N,385059.07654341,5819944.81720348
101001128,U Berliner Str.,2,UBER15,386596.88331727,5816540.64393791
101001129,Kaserne Nordtor,1,KNT02,385922.00474937,5824650.71490304
101001130,U Richard-Wagner-Platz,1,URWP05N,385045.4580683,5819980.36849317
101001131,Polizeidirektion 2,2,PDIR01,379826.85444079,5821266.41587184
101001132,Hinckeldeybrücke,1,HDEY02,384670.28694332,5823196.62422626
101001133,Weltlingerbrücke,4,WLTB02,384334.48278774,5822360.36247563
101001134,Am Heidefriedhof,1,AHFH04,390600.7140622,5811143.00285133
101001135,Haynauer Str.,1,HAYN01,388940.46714761,5810711.87360883
101001136,Malteserstr./Kamenzer Damm,1,MAKM03,388080.15969328,5810519.33795211
101001137,Kamenzer Damm/Wedellstr.,1,KDWD02,388509.82176839,5810608.0594237
101001138,Luisenpl./Schloss Charlottenburg,1,LPSC03,384624.93169296,5820140.76524206
101001139,Haubachstr.,1,HAUB02,384689.96219848,5819785.44707993
101001140,Bismarckstr/Kaiser-Friedrich-Str,2,BIKF02,384733.89445712,5819219.43674656
101001141,Kaiser-Friedrich-Str./Kantstr.,2,KFKA05,384788.91148571,5818684.42600152
101001142,Rudower Str./Grüner Weg,1,RUGR01,395098.78828654,5811435.45963869
101001143,U Sophie-Charlotte-Platz,1,USCP01N,384403.89955074,5819218.92174665
101001144,Ahlener Weg,1,AHLW01,384712.44430679,5808035.37995101
101001145,Wittstocker Str.,3,WTTS01,386617.91707892,5821338.36589714
101001146,Buddestr.,8,BUDD01,383954.14385604,5828150.08738183
101001147,U Bismarckstr.,2,UBMS03N,385072.15326695,5819276.19963361
101001149,Niklasstr.,1,NIKL01,379644.31289039,5810726.85682309
101001150,Niklasstr.,1,NIKL02,379668.93446947,5810806.79004956
101001151,Dietrichinger Weg,4,DTRW01,386906.23650124,5829276.18887649
101001152,J.-Friedrich-S./Westfälische Str,1,JFWF03N,384315.03838652,5817591.19917682
